age,pages,first_item_prize,gender,ReBuy,News_click,revenue,population,GDP_inhab
54.0,9.0,22.0,0.0,True,3.0,59.0,65926261,9503
50.0,3.0,10.0,0.0,False,0.0,32.0,65926261,9503
36.0,5.0,44.0,0.0,True,4.0,76.0,65926261,9503
39.0,7.0,44.0,0.0,False,1.0,60.0,65926261,9503
38.0,5.0,57.0,0.0,False,1.0,55.0,65926261,9503
29.0,8.0,42.0,0.0,False,4.0,166.0,65926261,9503
36.0,3.0,44.0,1.0,False,7.0,298.0,65926261,9503
27.0,8.0,15.5,1.0,False,6.0,55.0,65926261,9503
38.0,5.0,44.0,1.0,True,6.0,95.0,65926261,9503
30.0,6.0,28.0,0.0,False,3.0,24.0,65926261,9503
29.0,8.0,15.5,1.0,False,7.0,110.0,65926261,9503
38.0,8.0,44.0,1.0,True,4.0,164.0,65926261,9503
26.0,4.0,15.5,0.0,False,3.0,24.0,65926261,9503
38.0,2.0,44.0,1.0,False,1.0,95.0,65926261,9503
29.0,5.0,15.5,0.0,True,4.0,21.0,65926261,9503
32.0,5.0,28.0,0.0,False,5.0,85.0,65926261,9503
41.0,5.0,10.0,1.0,True,4.0,117.0,65926261,9503
51.0,7.0,10.0,0.0,True,4.0,67.0,65926261,9503
48.0,8.0,44.0,1.0,False,3.0,39.0,65926261,9503
28.0,6.0,44.0,1.0,False,2.0,52.0,65926261,9503
38.0,3.0,15.5,1.0,False,6.0,120.0,65926261,9503
35.0,8.0,44.0,1.0,False,3.0,102.0,65926261,9503
38.0,5.0,44.0,0.0,False,6.0,95.0,65926261,9503
27.0,10.0,22.0,1.0,False,5.0,112.0,65926261,9503
42.0,4.0,28.0,0.0,False,5.0,89.0,65926261,9503
41.0,7.0,44.0,0.0,False,6.0,179.0,65926261,9503
36.0,8.0,44.0,0.0,False,4.0,193.0,65926261,9503
58.0,4.0,15.5,0.0,False,7.0,42.0,65926261,9503
28.0,5.0,42.0,0.0,False,0.0,41.0,65926261,9503
26.0,7.0,44.0,0.0,False,1.0,58.0,65926261,9503
43.0,6.0,28.0,0.0,False,4.0,87.0,65926261,9503
26.0,4.0,15.5,0.0,True,2.0,25.0,65926261,9503
32.0,5.0,28.0,0.0,False,7.0,85.0,65926261,9503
34.0,5.0,44.0,0.0,False,2.0,22.0,65926261,9503
28.0,10.0,10.0,0.0,True,4.0,108.0,65926261,9503
43.0,8.0,44.0,0.0,False,5.0,171.0,65926261,9503
22.0,6.0,44.0,1.0,False,2.0,29.0,65926261,9503
25.0,4.0,57.0,1.0,False,7.0,208.0,65926261,9503
34.0,7.0,42.0,1.0,True,5.0,105.0,65926261,9503
45.0,7.0,42.0,0.0,False,5.0,113.0,65926261,9503
45.0,9.0,44.0,1.0,True,3.0,36.0,65926261,9503
36.0,3.0,44.0,1.0,False,0.0,94.0,65926261,9503
44.0,5.0,57.0,0.0,True,4.0,193.0,65926261,9503
43.0,7.0,44.0,1.0,False,1.0,92.0,65926261,9503
47.0,5.0,28.0,0.0,False,1.0,37.0,65926261,9503
31.0,8.0,44.0,0.0,False,4.0,271.0,65926261,9503
43.0,3.0,15.5,1.0,False,7.0,108.0,65926261,9503
39.0,8.0,44.0,0.0,False,6.0,217.0,65926261,9503
33.0,5.0,28.0,1.0,True,6.0,81.0,65926261,9503
38.0,6.0,42.0,1.0,False,3.0,42.0,65926261,9503
43.0,8.0,44.0,1.0,False,7.0,131.0,65926261,9503
29.0,8.0,15.5,1.0,True,4.0,75.0,65926261,9503
31.0,4.0,22.0,0.0,False,3.0,34.0,65926261,9503
47.0,2.0,22.0,1.0,False,1.0,50.0,65926261,9503
37.0,5.0,15.5,0.0,True,4.0,57.0,65926261,9503
30.0,5.0,44.0,0.0,False,5.0,255.0,65926261,9503
37.0,5.0,57.0,0.0,True,4.0,96.0,65926261,9503
33.0,7.0,22.0,0.0,True,4.0,84.0,65926261,9503
30.0,8.0,22.0,0.0,False,3.0,22.0,65926261,9503
35.0,6.0,44.0,0.0,False,2.0,54.0,65926261,9503
38.0,3.0,22.0,0.0,False,6.0,117.0,65926261,9503
41.0,8.0,10.0,0.0,False,3.0,13.0,65926261,9503
36.0,5.0,44.0,0.0,False,6.0,140.0,65926261,9503
24.0,10.0,44.0,0.0,False,5.0,171.0,65926261,9503
32.0,4.0,57.0,0.0,False,5.0,184.0,65926261,9503
41.0,7.0,42.0,0.0,False,6.0,127.0,65926261,9503
19.0,8.0,44.0,1.0,False,4.0,130.0,65926261,9503
36.0,4.0,15.5,1.0,False,7.0,60.0,65926261,9503
41.0,5.0,44.0,1.0,False,0.0,54.0,65926261,9503
30.0,7.0,28.0,0.0,False,1.0,35.0,65926261,9503
47.0,6.0,15.5,1.0,False,4.0,92.0,65926261,9503
27.0,4.0,44.0,1.0,True,2.0,83.0,65926261,9503
24.0,5.0,15.5,0.0,False,7.0,52.0,65926261,9503
27.0,5.0,44.0,1.0,False,2.0,129.0,65926261,9503
33.0,10.0,15.5,0.0,True,4.0,112.0,65926261,9503
41.0,8.0,28.0,0.0,False,5.0,131.0,65926261,9503
30.0,6.0,10.0,1.0,False,2.0,46.0,65926261,9503
38.0,4.0,10.0,0.0,False,7.0,104.0,65926261,9503
35.0,7.0,44.0,1.0,True,5.0,157.0,65926261,9503
44.0,7.0,44.0,1.0,False,5.0,93.0,65926261,9503
27.0,9.0,15.5,1.0,True,3.0,38.0,65926261,9503
36.0,3.0,44.0,1.0,False,0.0,140.0,65926261,9503
36.0,5.0,15.5,0.0,True,4.0,65.0,65926261,9503
32.0,7.0,22.0,1.0,False,1.0,56.0,65926261,9503
50.0,5.0,28.0,0.0,False,1.0,19.0,65926261,9503
29.0,8.0,44.0,0.0,False,4.0,164.0,65926261,9503
30.0,3.0,44.0,0.0,False,7.0,131.0,65926261,9503
42.0,8.0,15.5,0.0,False,6.0,61.0,65926261,9503
26.0,5.0,42.0,0.0,True,6.0,163.0,65926261,9503
50.0,6.0,44.0,0.0,False,3.0,67.0,65926261,9503
39.0,8.0,28.0,0.0,False,7.0,158.0,65926261,9503
32.0,8.0,15.5,0.0,True,4.0,86.0,65926261,9503
34.0,4.0,28.0,0.0,False,3.0,40.0,65926261,9503
30.0,2.0,44.0,0.0,False,1.0,56.0,65926261,9503
39.0,5.0,10.0,0.0,True,4.0,80.0,65926261,9503
37.0,5.0,44.0,0.0,False,5.0,157.0,65926261,9503
30.0,5.0,44.0,1.0,True,4.0,137.0,65926261,9503
27.0,7.0,57.0,1.0,True,4.0,159.0,65926261,9503
31.0,8.0,42.0,1.0,False,3.0,55.0,65926261,9503
54.0,6.0,42.0,0.0,False,2.0,77.0,65926261,9503
39.0,3.0,44.0,1.0,False,6.0,106.0,65926261,9503
43.0,8.0,44.0,1.0,False,3.0,114.0,65926261,9503
40.0,5.0,57.0,0.0,False,6.0,90.0,65926261,9503
35.0,10.0,44.0,1.0,False,5.0,150.0,65926261,9503
27.0,4.0,28.0,0.0,False,5.0,85.0,65926261,9503
35.0,7.0,44.0,0.0,False,6.0,304.0,65926261,9503
48.0,8.0,15.5,1.0,False,4.0,97.0,65926261,9503
19.0,4.0,44.0,0.0,False,7.0,207.0,65926261,9503
24.0,5.0,28.0,1.0,False,0.0,49.0,65926261,9503
29.0,7.0,42.0,1.0,False,1.0,85.0,65926261,9503
27.0,4.0,42.0,0.0,True,6.0,54.0,65926261,9503
34.0,6.0,57.0,0.0,False,0.0,53.0,65926261,9503
39.0,4.0,22.0,0.0,True,4.0,100.0,65926261,9503
31.0,5.0,44.0,0.0,False,2.0,56.0,65926261,9503
53.0,8.0,44.0,0.0,True,5.0,149.0,65926261,9503
20.0,4.0,44.0,0.0,True,1.0,86.0,65926261,9503
44.0,6.0,44.0,0.0,False,1.0,30.0,65926261,9503
34.0,5.0,42.0,1.0,False,4.0,121.0,65926261,9503
50.0,7.0,15.5,0.0,False,2.0,28.0,65926261,9503
26.0,6.0,44.0,1.0,False,4.0,147.0,65926261,9503
35.0,5.0,42.0,0.0,False,9.0,160.0,65926261,9503
26.0,4.0,22.0,0.0,True,2.0,22.0,65926261,9503
29.0,8.0,10.0,0.0,True,6.0,26.0,65926261,9503
40.0,5.0,44.0,1.0,True,2.0,56.0,65926261,9503
45.0,4.0,44.0,1.0,True,5.0,261.0,65926261,9503
38.0,6.0,28.0,0.0,False,1.0,28.0,65926261,9503
43.0,5.0,42.0,0.0,False,4.0,80.0,65926261,9503
33.0,2.0,44.0,0.0,False,10.0,211.0,65926261,9503
34.0,3.0,22.0,0.0,False,5.0,76.0,65926261,9503
37.0,4.0,15.5,0.0,False,3.0,19.0,65926261,9503
47.0,7.0,15.5,0.0,True,6.0,43.0,65926261,9503
32.0,6.0,44.0,1.0,False,2.0,74.0,65926261,9503
48.0,5.0,57.0,1.0,False,2.0,58.0,65926261,9503
45.0,4.0,57.0,1.0,False,6.0,77.0,65926261,9503
34.0,9.0,10.0,0.0,False,5.0,55.0,65926261,9503
46.0,9.0,44.0,0.0,False,6.0,178.0,65926261,9503
41.0,3.0,22.0,1.0,False,7.0,59.0,65926261,9503
23.0,7.0,44.0,0.0,False,3.0,49.0,65926261,9503
35.0,4.0,44.0,0.0,True,6.0,51.0,65926261,9503
47.0,3.0,44.0,0.0,False,10.0,137.0,65926261,9503
41.0,7.0,15.5,0.0,False,2.0,14.0,65926261,9503
43.0,9.0,22.0,0.0,False,1.0,45.0,65926261,9503
37.0,6.0,28.0,0.0,False,4.0,78.0,65926261,9503
34.0,6.0,42.0,0.0,True,10.0,50.0,65926261,9503
41.0,3.0,42.0,0.0,False,7.0,74.0,65926261,9503
43.0,3.0,44.0,0.0,True,4.0,154.0,65926261,9503
30.0,3.0,22.0,0.0,False,0.0,20.0,65926261,9503
38.0,9.0,22.0,1.0,False,4.0,28.0,65926261,9503
52.0,7.0,15.5,0.0,False,5.0,60.0,65926261,9503
31.0,6.0,57.0,1.0,False,3.0,23.0,65926261,9503
40.0,4.0,10.0,0.0,True,6.0,50.0,65926261,9503
51.0,6.0,44.0,0.0,False,0.0,88.0,65926261,9503
26.0,4.0,57.0,0.0,True,4.0,171.0,65926261,9503
37.0,5.0,15.5,1.0,False,2.0,41.0,65926261,9503
27.0,8.0,42.0,1.0,True,5.0,123.0,65926261,9503
28.0,4.0,44.0,0.0,True,1.0,49.0,65926261,9503
60.0,6.0,28.0,0.0,False,1.0,29.0,65926261,9503
33.0,5.0,44.0,0.0,False,4.0,184.0,65926261,9503
39.0,7.0,15.5,0.0,False,2.0,22.0,65926261,9503
36.0,6.0,22.0,0.0,False,4.0,82.0,65926261,9503
25.0,5.0,44.0,0.0,False,9.0,164.0,65926261,9503
53.0,4.0,22.0,1.0,True,2.0,22.0,65926261,9503
50.0,8.0,42.0,1.0,True,6.0,123.0,65926261,9503
42.0,5.0,15.5,1.0,True,2.0,19.0,65926261,9503
32.0,4.0,22.0,0.0,True,5.0,50.0,65926261,9503
40.0,6.0,22.0,0.0,False,1.0,15.0,65926261,9503
32.0,5.0,44.0,1.0,False,4.0,161.0,65926261,9503
45.0,2.0,44.0,0.0,False,10.0,84.0,65926261,9503
40.0,3.0,22.0,0.0,False,5.0,69.0,65926261,9503
46.0,4.0,57.0,0.0,False,3.0,43.0,65926261,9503
27.0,7.0,42.0,0.0,True,6.0,131.0,65926261,9503
43.0,6.0,57.0,0.0,False,2.0,46.0,65926261,9503
39.0,5.0,22.0,0.0,False,2.0,27.0,65926261,9503
45.0,4.0,44.0,0.0,False,6.0,116.0,65926261,9503
37.0,9.0,44.0,0.0,False,5.0,123.0,65926261,9503
32.0,9.0,44.0,0.0,False,6.0,133.0,65926261,9503
37.0,3.0,44.0,0.0,False,7.0,67.0,65926261,9503
22.0,7.0,42.0,1.0,False,3.0,28.0,65926261,9503
34.0,4.0,15.5,0.0,True,6.0,55.0,65926261,9503
29.0,3.0,44.0,1.0,False,10.0,78.0,65926261,9503
36.0,7.0,42.0,0.0,False,2.0,33.0,65926261,9503
45.0,9.0,22.0,0.0,False,1.0,48.0,65926261,9503
37.0,6.0,10.0,0.0,False,4.0,63.0,65926261,9503
32.0,6.0,44.0,1.0,True,10.0,140.0,65926261,9503
43.0,3.0,44.0,1.0,False,7.0,197.0,65926261,9503
47.0,3.0,28.0,0.0,True,4.0,70.0,65926261,9503
43.0,3.0,42.0,0.0,False,0.0,38.0,65926261,9503
37.0,9.0,44.0,0.0,False,4.0,216.0,65926261,9503
34.0,7.0,22.0,0.0,False,5.0,69.0,65926261,9503
37.0,6.0,15.5,0.0,False,3.0,14.0,65926261,9503
31.0,4.0,15.5,0.0,True,6.0,53.0,65926261,9503
34.0,6.0,44.0,1.0,False,0.0,117.0,65926261,9503
34.0,4.0,57.0,1.0,True,4.0,153.0,65926261,9503
33.0,5.0,57.0,1.0,False,2.0,46.0,65926261,9503
46.0,8.0,10.0,0.0,True,5.0,40.0,65926261,9503
37.0,4.0,44.0,0.0,True,1.0,20.0,65926261,9503
46.0,6.0,22.0,1.0,False,1.0,31.0,65926261,9503
48.0,5.0,44.0,0.0,False,4.0,128.0,65926261,9503
43.0,7.0,44.0,0.0,False,2.0,50.0,65926261,9503
49.0,6.0,44.0,0.0,False,4.0,196.0,65926261,9503
32.0,5.0,15.5,0.0,False,9.0,39.0,65926261,9503
33.0,4.0,22.0,0.0,True,2.0,28.0,65926261,9503
36.0,8.0,28.0,0.0,True,6.0,96.0,65926261,9503
43.0,5.0,42.0,0.0,True,2.0,4.0,65926261,9503
45.0,4.0,42.0,0.0,True,5.0,143.0,65926261,9503
27.0,6.0,44.0,0.0,False,1.0,42.0,65926261,9503
33.0,5.0,22.0,0.0,False,4.0,63.0,65926261,9503
38.0,2.0,22.0,1.0,False,10.0,33.0,65926261,9503
32.0,3.0,15.5,0.0,False,5.0,35.0,65926261,9503
46.0,4.0,57.0,1.0,False,3.0,73.0,65926261,9503
45.0,7.0,10.0,0.0,True,6.0,57.0,65926261,9503
45.0,6.0,44.0,0.0,False,2.0,55.0,65926261,9503
47.0,5.0,57.0,0.0,False,2.0,34.0,65926261,9503
22.0,4.0,15.5,1.0,False,6.0,83.0,65926261,9503
43.0,9.0,42.0,1.0,False,5.0,110.0,65926261,9503
34.0,9.0,44.0,0.0,False,6.0,86.0,65926261,9503
36.0,3.0,28.0,0.0,False,7.0,63.0,65926261,9503
39.0,7.0,44.0,0.0,False,3.0,56.0,65926261,9503
47.0,4.0,15.5,0.0,True,6.0,46.0,65926261,9503
40.0,3.0,22.0,0.0,False,10.0,71.0,65926261,9503
47.0,7.0,44.0,0.0,False,2.0,52.0,65926261,9503
33.0,9.0,22.0,1.0,False,1.0,34.0,65926261,9503
35.0,6.0,42.0,1.0,False,4.0,104.0,65926261,9503
22.0,6.0,15.5,1.0,True,10.0,51.0,65926261,9503
29.0,3.0,22.0,0.0,False,7.0,54.0,65926261,9503
43.0,3.0,22.0,0.0,True,4.0,44.0,65926261,9503
27.0,3.0,44.0,1.0,False,0.0,69.0,65926261,9503
26.0,9.0,44.0,0.0,False,4.0,76.0,65926261,9503
35.0,7.0,22.0,0.0,False,5.0,74.0,65926261,9503
30.0,6.0,57.0,0.0,False,3.0,18.0,65926261,9503
55.0,4.0,42.0,0.0,True,6.0,91.0,65926261,9503
33.0,6.0,57.0,0.0,False,0.0,10.0,65926261,9503
31.0,4.0,22.0,0.0,True,4.0,55.0,65926261,9503
43.0,5.0,44.0,0.0,False,2.0,34.0,65926261,9503
45.0,8.0,44.0,0.0,True,5.0,126.0,65926261,9503
33.0,4.0,44.0,0.0,True,1.0,78.0,65926261,9503
33.0,6.0,44.0,0.0,False,1.0,44.0,65926261,9503
46.0,5.0,42.0,1.0,False,4.0,78.0,65926261,9503
22.0,7.0,15.5,0.0,False,2.0,16.0,65926261,9503
24.0,6.0,44.0,1.0,False,4.0,114.0,65926261,9503
45.0,5.0,42.0,0.0,False,9.0,103.0,65926261,9503
27.0,4.0,22.0,0.0,True,2.0,18.0,65926261,9503
45.0,8.0,10.0,0.0,True,6.0,33.0,65926261,9503
36.0,5.0,44.0,1.0,True,2.0,43.0,65926261,9503
28.0,4.0,44.0,1.0,True,5.0,64.0,65926261,9503
30.0,6.0,28.0,0.0,False,1.0,28.0,65926261,9503
50.0,5.0,42.0,0.0,False,4.0,99.0,65926261,9503
19.0,2.0,44.0,0.0,False,10.0,147.0,65926261,9503
35.0,3.0,22.0,0.0,False,5.0,100.0,65926261,9503
43.0,4.0,15.5,0.0,False,3.0,27.0,65926261,9503
32.0,7.0,15.5,0.0,True,6.0,41.0,65926261,9503
41.0,6.0,44.0,1.0,False,2.0,66.0,65926261,9503
37.0,5.0,57.0,1.0,False,2.0,56.0,65926261,9503
30.0,4.0,57.0,1.0,False,6.0,67.0,65926261,9503
36.0,9.0,10.0,0.0,False,5.0,60.0,65926261,9503
43.0,9.0,44.0,0.0,False,6.0,84.0,65926261,9503
44.0,3.0,22.0,1.0,False,7.0,46.0,65926261,9503
42.0,7.0,44.0,0.0,False,3.0,40.0,65926261,9503
31.0,4.0,44.0,0.0,True,6.0,162.0,65926261,9503
29.0,3.0,44.0,0.0,False,10.0,193.0,65926261,9503
34.0,7.0,15.5,0.0,False,2.0,26.0,65926261,9503
40.0,9.0,22.0,0.0,False,1.0,21.0,65926261,9503
37.0,6.0,28.0,0.0,False,4.0,85.0,65926261,9503
40.0,6.0,42.0,0.0,True,10.0,168.0,65926261,9503
33.0,3.0,42.0,0.0,False,7.0,110.0,65926261,9503
43.0,3.0,44.0,0.0,True,4.0,76.0,65926261,9503
26.0,3.0,22.0,0.0,False,0.0,28.0,65926261,9503
28.0,9.0,22.0,1.0,False,4.0,69.0,65926261,9503
54.0,7.0,15.5,0.0,False,5.0,42.0,65926261,9503
36.0,6.0,57.0,1.0,False,3.0,42.0,65926261,9503
38.0,4.0,10.0,0.0,True,6.0,48.0,65926261,9503
31.0,6.0,44.0,0.0,False,0.0,75.0,65926261,9503
45.0,4.0,57.0,0.0,True,4.0,133.0,65926261,9503
48.0,5.0,15.5,1.0,False,2.0,23.0,65926261,9503
37.0,8.0,42.0,1.0,True,5.0,77.0,65926261,9503
24.0,4.0,44.0,0.0,True,1.0,51.0,65926261,9503
37.0,6.0,28.0,0.0,False,1.0,32.0,65926261,9503
38.0,5.0,44.0,0.0,False,4.0,143.0,65926261,9503
28.0,7.0,15.5,0.0,False,2.0,28.0,65926261,9503
37.0,6.0,22.0,0.0,False,4.0,71.0,65926261,9503
30.0,5.0,44.0,0.0,False,9.0,251.0,65926261,9503
29.0,4.0,22.0,1.0,True,2.0,29.0,65926261,9503
36.0,8.0,42.0,1.0,True,6.0,73.0,65926261,9503
46.0,5.0,15.5,1.0,True,2.0,21.0,65926261,9503
45.0,4.0,22.0,0.0,True,5.0,35.0,65926261,9503
45.0,6.0,22.0,0.0,False,1.0,23.0,65926261,9503
35.0,5.0,44.0,1.0,False,4.0,162.0,65926261,9503
46.0,2.0,44.0,0.0,False,10.0,95.0,65926261,9503
39.0,3.0,22.0,0.0,False,5.0,58.0,65926261,9503
32.0,4.0,57.0,0.0,False,3.0,52.0,65926261,9503
38.0,7.0,42.0,0.0,True,6.0,115.0,65926261,9503
39.0,6.0,57.0,0.0,False,2.0,70.0,65926261,9503
37.0,5.0,22.0,0.0,False,2.0,29.0,65926261,9503
27.0,4.0,44.0,0.0,False,6.0,106.0,65926261,9503
45.0,9.0,44.0,0.0,False,5.0,95.0,65926261,9503
18.0,9.0,44.0,0.0,False,6.0,181.0,65926261,9503
44.0,3.0,44.0,0.0,False,7.0,91.0,65926261,9503
37.0,7.0,42.0,1.0,False,3.0,43.0,65926261,9503
38.0,4.0,15.5,0.0,True,6.0,77.0,65926261,9503
47.0,3.0,44.0,1.0,False,10.0,73.0,65926261,9503
28.0,7.0,42.0,0.0,False,2.0,31.0,65926261,9503
43.0,9.0,22.0,0.0,False,1.0,30.0,65926261,9503
29.0,6.0,10.0,0.0,False,4.0,44.0,65926261,9503
20.0,6.0,44.0,1.0,True,10.0,84.0,65926261,9503
39.0,3.0,44.0,1.0,False,7.0,130.0,65926261,9503
41.0,3.0,28.0,0.0,True,4.0,55.0,65926261,9503
35.0,3.0,42.0,0.0,False,0.0,52.0,65926261,9503
40.0,9.0,44.0,0.0,False,4.0,149.0,65926261,9503
56.0,7.0,22.0,0.0,False,5.0,75.0,65926261,9503
40.0,6.0,15.5,0.0,False,3.0,17.0,65926261,9503
36.0,5.0,44.0,0.0,False,10.0,194.0,65926261,9503
41.0,5.0,22.0,1.0,True,0.0,133.0,65926261,9503
37.0,6.0,10.0,0.0,False,5.0,203.0,65926261,9503
35.0,5.0,44.0,1.0,False,4.0,283.0,65926261,9503
27.0,5.0,44.0,0.0,False,5.0,176.0,65926261,9503
37.0,9.0,15.5,0.0,False,5.0,147.0,65926261,9503
29.0,6.0,42.0,1.0,True,7.0,164.0,65926261,9503
39.0,5.0,42.0,1.0,False,1.0,113.0,65926261,9503
38.0,7.0,44.0,1.0,True,10.0,164.0,65926261,9503
36.0,4.0,57.0,0.0,False,3.0,144.0,65926261,9503
44.0,7.0,44.0,1.0,False,3.0,138.0,65926261,9503
41.0,7.0,57.0,0.0,False,4.0,236.0,65926261,9503
26.0,6.0,42.0,0.0,False,4.0,268.0,65926261,9503
27.0,4.0,44.0,1.0,False,3.0,140.0,65926261,9503
37.0,7.0,44.0,0.0,False,3.0,68.0,65926261,9503
34.0,9.0,28.0,0.0,False,4.0,309.0,65926261,9503
33.0,4.0,44.0,0.0,False,10.0,211.0,65926261,9503
40.0,9.0,57.0,1.0,False,5.0,164.0,65926261,9503
33.0,4.0,28.0,0.0,False,10.0,135.0,65926261,9503
44.0,6.0,57.0,0.0,False,5.0,278.0,65926261,9503
23.0,5.0,15.5,0.0,True,4.0,146.0,65926261,9503
